zip,home_value
10001,595119
10002,741081
10003,974174
10004,1609370
10005,1399537
10006,937889
10007,2000001
10009,614907
10010,1002005
10011,1028447
10012,1692582
10013,2000001
10014,1265169
10016,889414
10017,802031
10018,669003
10019,876389
10021,1534396
10022,1059881
10023,1354744
10024,1631854
10025,1036547
10026,942611
10027,796538
10028,1403429
10029,559102
10031,532201
10033,616807
10034,425584
10035,637362
10036,1215522
10037,183332
10038,800285
10039,494810
10040,417461
10044,966347
10065,1279631
10069,1895326
10075,1102100
10128,1178137
10280,846150
10301,560236
10302,457418
10303,379690
10304,563088
10305,543037
10306,586474
10307,762582
10308,591055
10309,625525
10310,560265
10312,602853
10314,585903
10453,492427
10456,394515
10458,432607
10459,482720
10460,490637
10461,529312
10462,394749
10463,319313
10464,527389
10465,535795
10466,496034
10467,326265
10468,241157
10469,519873
10470,500614
10471,375162
10472,546453
10473,468947
10474,304911
10475,79612
11001,610323
11004,547073
11005,655877
11101,967206
11102,762607
11103,925316
11104,528147
11105,934617
11106,596918
11201,1034844
11203,541029
11204,968833
11205,811437
11206,803137
11207,546514
11208,549761
11209,820894
11210,724473
11211,1003101
11212,458230
11213,899994
11214,831544
11215,1448428
11216,1195924
11217,1390350
11218,820555
11219,965633
11220,849100
11221,945181
11222,1183646
11223,927077
11224,459485
11225,1057129
11226,675822
11228,990893
11229,702628
11230,775239
11231,1470549
11232,809286
11233,936902
11234,641396
11235,609460
11236,600089
11237,918023
11238,1028046
11239,477906
11249,1220643
11354,529896
11355,624967
11356,737219
11357,819469
11358,859340
11360,607074
11361,765249
11362,505712
11363,840144
11364,672962
11365,784347
11366,833383
11367,541840
11368,655706
11369,570575
11370,760551
11372,383746
11373,611430
11374,441326
11375,495863
11377,581711
11378,711948
11379,772984
11385,715264
11411,487537
11412,509318
11413,528972
11414,526515
11415,309426
11416,622160
11417,613491
11418,625441
11419,600486
11420,588961
11421,597916
11422,514115
11423,602872
11426,595833
11427,589180
11428,593526
11429,519989
11432,673520
11433,489837
11434,458331
11435,447268
11436,498700
11691,559031
11692,471562
11693,403836
11694,704329
11697,612345
